hour,mean,std,min,max,count
0,23.26,0.63,21.92,24.18,181
1,23.2,0.61,21.83,24.1,181
2,23.15,0.61,21.76,24.0,182
3,23.09,0.6,21.71,23.94,181
4,23.05,0.6,21.66,23.84,180
5,23.0,0.6,21.61,23.79,182
6,22.92,0.58,21.58,23.72,180
7,22.66,0.51,21.42,23.69,181
8,22.59,0.52,21.28,23.7,181
9,22.81,0.47,21.37,23.76,179
10,22.98,0.49,21.81,23.94,182
11,23.05,0.58,21.81,24.09,180
12,23.13,0.64,21.86,24.31,183
13,23.15,0.66,21.94,24.46,192
14,23.26,0.68,22.12,24.64,193
15,23.31,0.71,22.38,24.82,192
16,23.31,0.78,22.29,24.96,195
17,23.22,0.89,21.72,25.0,192
18,23.04,0.97,21.64,24.97,192
19,23.04,0.92,21.78,24.87,192
20,23.21,0.78,22.12,24.75,191
21,23.27,0.7,22.17,24.61,193
22,23.28,0.67,22.13,24.45,192
23,23.25,0.65,22.01,24.31,192
