hour,mean,std,min,max,count
0,25.29,0.8,22.88,27.56,1488
1,25.28,0.8,22.84,27.46,1512
2,25.25,0.79,22.79,27.4,1511
3,25.22,0.79,22.8,27.34,1501
4,25.19,0.79,22.73,27.27,1485
5,25.04,0.82,22.29,27.21,1511
6,24.79,0.84,22.04,26.86,1510
7,24.37,0.83,21.87,26.91,1505
8,24.25,0.81,22.11,26.83,1504
9,24.44,0.82,22.75,27.1,1522
10,24.59,0.9,22.84,27.35,1513
11,24.78,0.98,22.9,27.57,1945
12,24.78,1.12,23.2,27.83,1532
13,24.83,1.22,23.3,28.0,1498
14,24.86,1.33,23.16,28.06,1502
15,24.9,1.43,23.15,28.18,1500
16,24.84,1.54,22.67,28.27,1505
17,24.63,1.7,21.64,28.36,1517
18,24.6,1.65,21.12,28.34,1917
19,24.71,1.58,21.72,28.23,1534
20,25.07,1.31,21.48,28.1,1513
21,25.29,1.06,21.88,27.95,1513
22,25.39,0.92,22.54,27.77,1091
23,25.35,0.86,22.83,27.64,1066
