created_at,day,ta
2019-10-01 00:00:00+00:00,2,23.90
2019-10-01 01:00:00+00:00,2,23.82
2019-10-01 02:00:00+00:00,2,23.77
2019-10-01 03:00:00+00:00,2,23.70
2019-10-01 04:00:00+00:00,2,23.63
2019-10-01 05:00:00+00:00,2,23.57
2019-10-01 06:00:00+00:00,2,23.55
2019-10-01 07:00:00+00:00,2,23.08
2019-10-01 08:00:00+00:00,2,22.98
2019-10-01 09:00:00+00:00,2,23.29
2019-10-01 10:00:00+00:00,2,23.50
2019-10-01 11:00:00+00:00,2,23.18
2019-10-01 12:00:00+00:00,2,23.03
2019-10-01 13:00:00+00:00,2,23.06
2019-10-01 14:00:00+00:00,2,23.13
2019-10-01 15:00:00+00:00,2,23.16
2019-10-01 16:00:00+00:00,2,23.34
2019-10-01 17:00:00+00:00,2,23.03
2019-10-01 18:00:00+00:00,2,22.64
2019-10-01 19:00:00+00:00,2,23.15
2019-10-01 20:00:00+00:00,2,23.85
2019-10-01 21:00:00+00:00,2,23.98
2019-10-01 22:00:00+00:00,2,23.86
2019-10-01 23:00:00+00:00,2,23.79
2019-10-02 00:00:00+00:00,3,23.73
2019-10-02 01:00:00+00:00,3,23.68
2019-10-02 02:00:00+00:00,3,23.62
2019-10-02 03:00:00+00:00,3,23.57
2019-10-02 04:00:00+00:00,3,23.53
2019-10-02 05:00:00+00:00,3,23.50
2019-10-02 06:00:00+00:00,3,23.50
2019-10-02 07:00:00+00:00,3,23.03
2019-10-02 08:00:00+00:00,3,22.90
2019-10-02 09:00:00+00:00,3,23.26
2019-10-02 10:00:00+00:00,3,23.54
2019-10-02 11:00:00+00:00,3,23.25
2019-10-02 12:00:00+00:00,3,23.27
2019-10-02 13:00:00+00:00,3,23.31
2019-10-02 14:00:00+00:00,3,23.01
2019-10-02 15:00:00+00:00,3,23.18
2019-10-02 16:00:00+00:00,3,23.54
2019-10-02 17:00:00+00:00,3,23.23
2019-10-02 18:00:00+00:00,3,22.71
2019-10-02 19:00:00+00:00,3,23.29
2019-10-02 20:00:00+00:00,3,24.08
2019-10-02 21:00:00+00:00,3,24.21
2019-10-02 22:00:00+00:00,3,24.14
2019-10-02 23:00:00+00:00,3,24.02
2019-10-03 00:00:00+00:00,4,23.98
2019-10-03 01:00:00+00:00,4,24.00
2019-10-03 02:00:00+00:00,4,23.98
2019-10-03 03:00:00+00:00,4,23.97
2019-10-03 04:00:00+00:00,4,23.95
2019-10-03 05:00:00+00:00,4,23.89
2019-10-03 06:00:00+00:00,4,23.91
2019-10-03 07:00:00+00:00,4,23.35
2019-10-03 08:00:00+00:00,4,23.19
2019-10-03 09:00:00+00:00,4,23.43
2019-10-03 10:00:00+00:00,4,23.12
2019-10-03 11:00:00+00:00,4,23.01
2019-10-03 12:00:00+00:00,4,22.74
2019-10-03 13:00:00+00:00,4,22.74
2019-10-03 14:00:00+00:00,4,22.89
