hour,mean,std,min,max,count
0,23.81,0.55,22.61,25.22,648
1,23.75,0.54,22.49,25.07,652
2,23.67,0.55,22.39,24.95,652
3,23.59,0.55,22.3,24.84,656
4,23.52,0.54,22.24,24.75,649
5,23.45,0.53,22.16,24.67,650
6,23.38,0.52,22.13,24.58,659
7,23.17,0.49,22.02,24.6,660
8,23.15,0.54,21.96,24.7,655
9,23.57,0.56,22.1,25.06,643
10,24.03,0.56,22.37,25.72,653
11,24.26,0.68,22.73,26.38,676
12,24.42,0.8,22.86,26.59,641
13,24.51,0.9,22.83,26.72,622
14,24.59,0.98,22.91,27.0,645
15,24.54,1.06,22.79,27.13,639
16,24.41,1.1,22.74,27.13,671
17,24.15,1.1,22.47,26.89,658
18,23.81,1.09,21.99,26.55,683
19,23.81,0.99,22.03,26.21,646
20,23.96,0.77,22.72,25.98,645
21,24.03,0.7,22.97,25.77,662
22,23.98,0.61,22.92,25.56,632
23,23.9,0.58,22.76,25.38,630
