hour,mean,std,min,max,count
0,24.56,0.85,22.38,26.61,1521
1,24.48,0.86,22.12,26.53,1535
2,24.42,0.88,21.96,26.47,1515
3,24.34,0.88,21.83,26.41,1538
4,24.29,0.9,21.69,26.35,1535
5,24.27,0.9,21.67,26.3,1537
6,24.25,0.89,21.81,26.24,1535
7,24.01,0.84,21.62,26.18,1536
8,23.79,0.77,21.58,26.26,1541
9,23.87,0.79,22.09,26.77,1532
10,24.09,0.91,22.78,27.24,1538
11,24.26,1.05,22.73,27.56,1549
12,24.39,1.19,22.81,27.87,1557
13,24.5,1.33,22.82,28.1,1549
14,24.59,1.42,22.76,28.17,1546
15,24.62,1.46,22.64,28.17,1556
16,24.6,1.5,22.72,28.21,1568
17,24.49,1.5,22.56,28.09,1562
18,24.37,1.44,22.29,27.88,1558
19,24.44,1.24,22.53,27.66,1537
20,24.66,0.99,23.0,27.33,1530
21,24.74,0.87,22.96,27.06,1524
22,24.71,0.84,22.82,26.86,1530
23,24.63,0.85,22.65,26.73,1527
