day_name,day,hour,ta
Monday,0,0,24.89344827586207
Monday,0,1,24.725238095238097
Monday,0,2,24.639438202247188
Monday,0,3,24.499456521739127
Monday,0,4,24.422025316455695
Monday,0,5,24.296333333333333
Monday,0,6,24.074137931034482
Monday,0,7,23.665604395604397
Monday,0,8,24.184942528735633
Monday,0,9,24.258048780487805
Monday,0,10,24.22440476190476
Monday,0,11,24.03833333333333
Monday,0,12,23.934512195121954
Monday,0,13,24.07012048192771
Monday,0,14,24.095172413793104
Monday,0,15,23.994269662921347
Monday,0,16,23.91197916666667
Monday,0,17,23.61063829787234
Monday,0,18,23.378
Monday,0,19,23.55454545454546
Monday,0,20,23.887954545454544
Monday,0,21,24.004725274725274
Monday,0,22,24.051724137931036
Monday,0,23,24.02488372093023
Tuesday,1,0,24.01808988764045
Tuesday,1,1,23.978444444444445
Tuesday,1,2,23.896046511627905
Tuesday,1,3,23.843734939759035
Tuesday,1,4,23.80850574712644
Tuesday,1,5,23.715
Tuesday,1,6,23.6567032967033
Tuesday,1,7,23.356521739130436
Tuesday,1,8,23.543
Tuesday,1,9,23.803953488372095
Tuesday,1,10,24.141931818181817
Tuesday,1,11,24.132823529411763
Tuesday,1,12,24.108977272727273
Tuesday,1,13,24.123058823529412
Tuesday,1,14,24.02978021978022
Tuesday,1,15,23.919247311827956
Tuesday,1,16,23.82048780487805
Tuesday,1,17,23.522528735632186
Tuesday,1,18,23.199534883720933
Tuesday,1,19,23.493103448275864
Tuesday,1,20,23.905978260869563
Tuesday,1,21,24.062235294117645
Tuesday,1,22,24.111379310344827
Tuesday,1,23,24.055348837209305
Wednesday,2,0,24.00772277227723
Wednesday,2,1,23.961752577319587
Wednesday,2,2,23.8997
Wednesday,2,3,23.793398058252425
Wednesday,2,4,23.821489361702124
Wednesday,2,5,23.7591
Wednesday,2,6,23.670937499999997
Wednesday,2,7,23.40158415841584
Wednesday,2,8,23.5879381443299
Wednesday,2,9,23.849615384615387
Wednesday,2,10,23.987549019607844
Wednesday,2,11,23.981979166666665
Wednesday,2,12,23.95239583333333
Wednesday,2,13,23.852285714285713
Wednesday,2,14,23.736862745098037
Wednesday,2,15,23.62076086956522
Wednesday,2,16,23.54822916666667
Wednesday,2,17,23.219166666666666
Wednesday,2,18,23.066736842105264
Wednesday,2,19,23.328453608247425
Wednesday,2,20,23.6296875
Wednesday,2,21,23.797113402061857
Wednesday,2,22,23.866534653465347
Wednesday,2,23,23.900686274509802
Thursday,3,0,23.861313131313132
Thursday,3,1,23.811634615384612
Thursday,3,2,23.695769230769233
Thursday,3,3,23.644795918367347
Thursday,3,4,23.5460396039604
Thursday,3,5,23.49084210526316
Thursday,3,6,23.421063829787233
Thursday,3,7,23.061415094339626
Thursday,3,8,23.229387755102042
Thursday,3,9,23.448829787234043
Thursday,3,10,23.608541666666667
