day_name,day,hour,ta
Monday,0,0,25.597128712871285
Monday,0,1,25.49234375
Monday,0,2,25.36431693989071
Monday,0,3,25.297947368421053
Monday,0,4,25.221333333333334
Monday,0,5,25.169052631578946
Monday,0,6,25.01439790575916
Monday,0,7,24.315625
Monday,0,8,23.598921568627453
Monday,0,9,23.43521505376344
Monday,0,10,23.68737113402062
Monday,0,11,23.87792349726776
Monday,0,12,23.775494505494507
Monday,0,13,23.785888888888888
Monday,0,14,24.094521276595746
Monday,0,15,23.855897435897433
Monday,0,16,23.874180790960448
Monday,0,17,23.59255681818182
Monday,0,18,23.375489130434783
Monday,0,19,23.60674157303371
Monday,0,20,24.252830188679244
Monday,0,21,24.488342541436467
Monday,0,22,24.671989528795812
Monday,0,23,24.69348837209302
Tuesday,1,0,24.739825581395348
Tuesday,1,1,24.73771929824561
Tuesday,1,2,24.748505747126437
Tuesday,1,3,24.727999999999998
Tuesday,1,4,24.68316666666667
Tuesday,1,5,24.69740540540541
Tuesday,1,6,24.678125
Tuesday,1,7,24.152393617021275
Tuesday,1,8,23.327796610169493
Tuesday,1,9,23.032222222222224
Tuesday,1,10,23.093353658536586
Tuesday,1,11,23.109505494505495
Tuesday,1,12,23.092834224598928
Tuesday,1,13,23.114709302325583
Tuesday,1,14,23.11543209876543
Tuesday,1,15,23.808256880733946
Tuesday,1,16,22.942586206896554
Tuesday,1,17,22.764242424242422
Tuesday,1,18,22.526820809248555
Tuesday,1,19,22.887729729729728
Tuesday,1,20,23.61111111111111
Tuesday,1,21,23.983170731707315
Tuesday,1,22,24.16603550295858
Tuesday,1,23,24.22187134502924
Wednesday,2,0,24.206610169491523
Wednesday,2,1,24.22148148148148
Wednesday,2,2,24.192406417112302
Wednesday,2,3,24.19467032967033
Wednesday,2,4,24.168684210526315
Wednesday,2,5,24.153750000000002
Wednesday,2,6,24.194388888888888
Wednesday,2,7,23.671612903225807
Wednesday,2,8,22.937967914438502
Wednesday,2,9,22.815459459459458
Wednesday,2,10,22.97436046511628
Wednesday,2,11,23.07515789473684
Wednesday,2,12,23.085343915343916
Wednesday,2,13,23.01086021505376
Wednesday,2,14,22.972085561497323
Wednesday,2,15,22.900744680851066
Wednesday,2,16,22.81989247311828
Wednesday,2,17,22.569
Wednesday,2,18,22.339109947643976
Wednesday,2,19,22.642485875706214
Wednesday,2,20,23.348540540540537
Wednesday,2,21,23.764031413612567
Wednesday,2,22,23.93961956521739
Wednesday,2,23,24.016538461538463
Thursday,3,0,24.042072538860104
Thursday,3,1,24.002736842105264
Thursday,3,2,23.936323529411766
Thursday,3,3,23.965255102040814
Thursday,3,4,23.911657754010694
Thursday,3,5,23.88094444444444
Thursday,3,6,23.909285714285712
Thursday,3,7,23.46497435897436
Thursday,3,8,23.02688524590164
Thursday,3,9,23.212513368983956
Thursday,3,10,23.269787234042553
Thursday,3,11,23.38961956521739
Thursday,3,12,23.508045977011495
Thursday,3,13,23.53022857142857
Thursday,3,14,23.601242937853108
Thursday,3,15,23.609585798816568
Thursday,3,16,23.39889502762431
Thursday,3,17,23.222944444444444
Thursday,3,18,23.06815217391304
Thursday,3,19,23.245923913043477
Thursday,3,20,23.67231182795699
Thursday,3,21,23.930765027322405
Thursday,3,22,24.041904761904764
Thursday,3,23,24.042676767676767
Friday,4,0,24.083440366972475
Friday,4,1,24.078761904761905
Friday,4,2,24.070186915887852
Friday,4,3,24.045817307692307
Friday,4,4,24.028271028037384
Friday,4,5,23.986395939086293
Friday,4,6,23.853842105263155
Friday,4,7,23.510786516853933
Friday,4,8,23.05629411764706
Friday,4,9,23.00994623655914
Friday,4,10,23.145168539325844
Friday,4,11,23.148651685393258
Friday,4,12,23.15129213483146
Friday,4,13,23.212848837209304
Friday,4,14,23.36063953488372
Friday,4,15,23.499943181818182
Friday,4,16,23.32835164835165
Friday,4,17,23.090252525252524
Friday,4,18,22.867091836734694
Friday,4,19,23.09287958115183
Friday,4,20,23.51170103092784
Friday,4,21,23.75515463917526
Friday,4,22,23.8859375
Friday,4,23,23.90124352331606
Saturday,5,0,23.94051136363636
Saturday,5,1,23.96578651685393
Saturday,5,2,23.97311764705882
Saturday,5,3,23.92045977011494
Saturday,5,4,23.882391304347824
Saturday,5,5,23.886588235294116
Saturday,5,6,23.838275862068965
Saturday,5,7,23.817999999999998
Saturday,5,8,23.953793103448277
Saturday,5,9,24.218370786516854
Saturday,5,10,24.56328125
Saturday,5,11,25.00494680851064
Saturday,5,12,25.502285714285712
Saturday,5,13,25.90139534883721
Saturday,5,14,26.19090909090909
Saturday,5,15,26.423513513513516
Saturday,5,16,26.554105263157894
Saturday,5,17,26.50977142857143
Saturday,5,18,26.297345679012345
Saturday,5,19,26.04620879120879
Saturday,5,20,25.733354430379745
Saturday,5,21,25.50703488372093
Saturday,5,22,25.351882352941175
Saturday,5,23,25.20129411764706
Sunday,6,0,25.02808139534884
Sunday,6,1,24.919464285714287
Sunday,6,2,24.812529411764707
Sunday,6,3,24.685974842767298
Sunday,6,4,24.703803680981594
Sunday,6,5,24.62551282051282
Sunday,6,6,24.56875816993464
Sunday,6,7,24.54194117647059
Sunday,6,8,24.695500000000003
Sunday,6,9,24.901419753086422
Sunday,6,10,25.258518518518517
Sunday,6,11,25.824086538461536
Sunday,6,12,26.022931034482756
Sunday,6,13,26.380060240963857
Sunday,6,14,26.632621951219512
Sunday,6,15,26.88960227272727
Sunday,6,16,26.969395604395604
Sunday,6,17,26.98421052631579
Sunday,6,18,26.722065217391304
Sunday,6,19,26.575677083333332
Sunday,6,20,26.329285714285714
Sunday,6,21,26.029242424242423
Sunday,6,22,25.859162303664924
Sunday,6,23,25.759708737864077
