day_name,day,hour,ta
Sunday,0.0,0,24.832500000000003
Sunday,0.0,1,24.705
Sunday,0.0,2,24.77333333333333
Sunday,0.0,3,24.509999999999998
Sunday,0.0,4,24.4025
Sunday,0.0,5,24.32
Sunday,0.0,6,24.255000000000003
Sunday,0.0,7,24.29
Sunday,0.0,8,24.482499999999998
Sunday,0.0,9,24.7175
Sunday,0.0,10,25.015
Sunday,0.0,11,25.302500000000002
Sunday,0.0,12,25.5
Sunday,0.0,13,25.6475
Sunday,0.0,14,25.8075
Sunday,0.0,15,26.0925
Sunday,0.0,16,26.425
Sunday,0.0,17,26.6025
Sunday,0.0,18,26.4425
Sunday,0.0,19,26.1675
Sunday,0.0,20,25.93
Sunday,0.0,21,25.6975
Sunday,0.0,22,25.4625
Sunday,0.0,23,25.28
Monday,1.0,0,25.1375
Monday,1.0,1,25.02
Monday,1.0,2,24.915
Monday,1.0,3,24.83
Monday,1.0,4,24.7575
Monday,1.0,5,24.6675
Monday,1.0,6,24.375
Monday,1.0,7,24.240000000000002
Monday,1.0,8,24.377499999999998
Monday,1.0,9,24.3825
Monday,1.0,10,23.8425
Monday,1.0,11,23.6025
Monday,1.0,12,23.5575
Monday,1.0,13,23.560000000000002
Monday,1.0,14,23.6
Monday,1.0,15,23.7275
Monday,1.0,16,23.962500000000002
Monday,1.0,17,23.92
Monday,1.0,18,23.9675
Monday,1.0,19,24.5175
Monday,1.0,20,24.8575
Monday,1.0,21,24.92
Monday,1.0,22,24.9325
Monday,1.0,23,24.8475
Tuesday,2.0,0,24.6
Tuesday,2.0,1,24.538
Tuesday,2.0,2,24.490000000000002
Tuesday,2.0,3,24.454
Tuesday,2.0,4,24.422
Tuesday,2.0,5,24.380000000000003
Tuesday,2.0,6,24.052
Tuesday,2.0,7,23.808
Tuesday,2.0,8,23.881999999999998
Tuesday,2.0,9,24.06
Tuesday,2.0,10,23.631999999999998
Tuesday,2.0,11,22.952
Tuesday,2.0,12,22.652
Tuesday,2.0,13,22.594
Tuesday,2.0,14,22.566
Tuesday,2.0,15,22.782
Tuesday,2.0,16,22.996
Tuesday,2.0,17,22.966
Tuesday,2.0,18,23.14
Tuesday,2.0,19,23.868000000000002
Tuesday,2.0,20,24.32
Tuesday,2.0,21,24.381999999999998
Tuesday,2.0,22,24.308
Tuesday,2.0,23,24.256
Wednesday,3.0,0,24.3075
Wednesday,3.0,1,24.125999999999998
Wednesday,3.0,2,24.078
Wednesday,3.0,3,24.024
Wednesday,3.0,4,23.986
Wednesday,3.0,5,23.944
Wednesday,3.0,6,23.762
Wednesday,3.0,7,23.4
Wednesday,3.0,8,23.588
Wednesday,3.0,9,23.836000000000002
Wednesday,3.0,10,23.17
Wednesday,3.0,11,22.865000000000002
Wednesday,3.0,12,22.7425
Wednesday,3.0,13,22.724999999999998
Wednesday,3.0,14,22.7325
Wednesday,3.0,15,22.79
Wednesday,3.0,16,22.9425
Wednesday,3.0,17,22.785
Wednesday,3.0,18,22.7775
Wednesday,3.0,19,23.5675
Wednesday,3.0,20,24.16
Wednesday,3.0,21,24.3125
Wednesday,3.0,22,24.2625
Wednesday,3.0,23,24.175
Thursday,4.0,0,24.1225
Thursday,4.0,1,24.095
Thursday,4.0,2,24.0525
Thursday,4.0,3,24.005
Thursday,4.0,4,23.9675
Thursday,4.0,5,23.915
Thursday,4.0,6,23.8525
Thursday,4.0,7,23.315
Thursday,4.0,8,23.535
Thursday,4.0,9,23.92
Thursday,4.0,10,23.865000000000002
Thursday,4.0,11,23.04
Thursday,4.0,12,22.765
Thursday,4.0,13,22.725
Thursday,4.0,14,22.81
Thursday,4.0,15,22.869999999999997
Thursday,4.0,16,23.1125
Thursday,4.0,17,23.0375
Thursday,4.0,18,22.995
Thursday,4.0,19,23.7675
Thursday,4.0,20,24.2725
Thursday,4.0,21,24.3625
Thursday,4.0,22,24.34
Thursday,4.0,23,24.275
Friday,5.0,0,24.195
Friday,5.0,1,24.13
Friday,5.0,2,24.0725
Friday,5.0,3,24.04
Friday,5.0,4,23.98
Friday,5.0,5,23.955
Friday,5.0,6,23.8775
Friday,5.0,7,23.525
Friday,5.0,8,23.4975
Friday,5.0,9,23.580000000000002
Friday,5.0,10,23.6375
Friday,5.0,11,23.1725
Friday,5.0,12,22.85
Friday,5.0,13,22.8275
Friday,5.0,14,22.885
Friday,5.0,15,22.91
Friday,5.0,16,22.8
Friday,5.0,17,22.545
Friday,5.0,18,22.78
Friday,5.0,19,23.6075
Friday,5.0,20,24.135
Friday,5.0,21,24.2775
Friday,5.0,22,24.2725
Friday,5.0,23,24.2
Saturday,6.0,0,24.1825
Saturday,6.0,1,24.14
Saturday,6.0,2,24.0825
Saturday,6.0,3,24.04
Saturday,6.0,4,24.015
Saturday,6.0,5,23.985
Saturday,6.0,6,23.9825
Saturday,6.0,7,24.0775
Saturday,6.0,8,24.252499999999998
Saturday,6.0,9,24.5025
Saturday,6.0,10,24.7725
Saturday,6.0,11,25.06
Saturday,6.0,12,25.29
Saturday,6.0,13,25.43
Saturday,6.0,14,25.6
Saturday,6.0,15,25.7075
Saturday,6.0,16,25.8625
Saturday,6.0,17,25.8875
Saturday,6.0,18,25.8
Saturday,6.0,19,25.66
Saturday,6.0,20,25.4825
Saturday,6.0,21,25.3
Saturday,6.0,22,25.122500000000002
Saturday,6.0,23,24.9725
